case_id,year,case_name,case_artist,case_title,case_role
145,2003,Cottrill v. Spears,Michael Cottrill and Lawrence Wnukowski,What You See is What You Get,complainer
146,2003,Newton v. Diamond,James W. Newton,Choir,complainer
147,2003,Ory v. Country Joe McDonald,"Edward ""Kid"" Ory",Muskrat Ramble,complainer
148,2003,Jorgensen v. Epic/Sony Records,John L. Jorgensen,Long Lost Lover,complainer
149,2003,Ergin v. Kershaw,"Mehmet Ergin, Christoph Lienemann",Jingle of German bank: “Wenn’s ums Geld geht-Sparkasse”,complainer
150,2003,Kobayashi v. Hatorri,Asei Kobayashi,Dokomademo Ikou [Let's Go Anywhere],complainer
151,2004,Apollo v. Coca Cola,Apollo Inc.,When the Sun Rises,complainer
152,2004,Swirsky v. Carey,Seth Swirsky and Warryn Campbell,One of Those Love Songs,complainer
153,2004,"Disney Enterprises, Inc. v. S.G. Griesel",Soloman Ntsele [p/k/a/ Linda],Mbube,complainer
154,2004,Ulloa v. Universal,Demme Ulloa,Brief countermelody to defendant's song,complainer
155,2005,BMS Entertainment v. Bridges,"Ramid Brown, et al.",Straight Like That,complainer
156,2005,"Bridgeport Music v. Dimension Films, et al.",George Clinton,Get Off Your Ass and Jam,complainer
157,2005,Coffey v. Warner/Chappell Music,Elizabeth Coffey,Forever After,complainer
158,2005,Griffin v. J-Records,Tia Griffin,Heart of Gold,complainer
159,2005,Johnson v. Gordon,Calvin R. Johnson,You’re the One (For Me),complainer
160,2005,Positive Black Talk v. Cash Money Records,"Jerome Temple (""Jubilee"")",Back That Ass Up,complainer
161,2005,Vargas v. Pfizer,Ralph Vargas and Bland-Ricky Roberts,Bust Dat Groove Without Ride,complainer
162,2005,Yong Wang v. Zhengben Zhu,Yong Wang,Send My Comrade to Beijing,complainer
163,2005,Bacalov v. Endrigo,Sergio Endrigo,Nelle mie notti,complainer
164,2006,Boone v. Jackson,"Carl Boone (""Trajik"")",Holla Back,complainer
165,2006,Tilford v. Jones,Bradley Tilford,Still Tippin',complainer
166,2007,Armour v. Knowles,Jennifer Armour,Got a Little Bit of Love for You,complainer
167,2007,Bridgeport Music v. Combs,"Robert Jones, et al.",Singing in the Morning,complainer
168,2007,"Lil' Joe Wein Music, Inc. v. Jackson",Luther Campbell,It's Your Birthday,complainer
169,2007,People v. Hu,Lo,Lianshang Love Song,complainer
170,2007,Vargas v. Transeau,Ralph Vargas and Bland-Ricky Roberts,Aparthenonia,complainer
171,2007,Velez v. Sony Discos,Victor Velez,Hasta Hoy,complainer
172,2007,Lester v. U2,Chris Lester,Nowhere Fast,complainer
173,2007,"Huang Nenghua, et al. v. China Record Shanghai Co., Ltd.",Xu Ruhui,"Arrangements of Chinese Operas, including: The Mother as Slave",complainer
174,2008,Glover v. Austin,Corey Glover,Make Up Your Mind,complainer
175,2008,"Winter v. Moore, et al.","Jurgen Winter, et al., (a.k.a. ""Jud's Gallery"")",Nordrach,complainer
176,2008,Sampath v. Roshan,Ram Sampath,The Thump,complainer
177,2009,Allen v. Destiny's Child,Rickey Allen,Cater 2 U,complainer
178,2009,Brainard v. Vassar,Dustin Evans,Good Ol' Days to Come,complainer
179,2009,"Steele v. Bongiovi, et al.",Samuel Steele,Man I Really Love This Team,complainer
180,2009,"Bridgeport Music, Inc. v. UMG Recordings, Inc",George Clinton,Atomic Dog,complainer
181,2009,Jones v. Blige,Leonard Jones and James E. White,Party Ain't Crunk,complainer
182,2009,"Joe Satriani v. Christopher Martin, et al. [Coldplay]",Joe Satriani,If I Could Fly,complainer
183,2009,Weh v. Universal Music Publishing,WEH,Heartbeat,complainer
184,2010,"Currin v. Pharrell Williams, et al.",David & Peter Currin,I'm Frontin',complainer
185,2010,Larrikin Music Publishing Ltd. v. EMI Songs Australia Ltd.,Marion Sinclair,Kookaburra Sits in the Old Gum Tree,complainer
186,2010,Marshall v. Huffman,Preston Marshall,You are the One,complainer
187,2010,"Prunte v. Universal Music Group Inc., et al.",Robert R. Prunte,"Fire in Da Hole, Plus Others",complainer
188,2010,Martel Ellis v. Wyclef Jean,Martel Ellis,Danger,complainer
189,2010,"Ebony Latrice Batts v. William Adams, et al. [“Black Eyed Peas”]",Ebony Latrice Batts aka “Phoenix Phenom”,Boom Dynamite,complainer
190,2010,"Holmes v. Page, et al.",Jake Holmes,Dazed and Confused,complainer
191,2011,"Ernest Straughter v. Usher Raymond, et al.",Ernest Straughter,The Reasons Why,complainer
192,2011,Pyatt v. Raymond,Wadena Pyatt,Caught Up,complainer
193,2011,Lessem v. Taylor,"Ryan Lessem, Douglas Johnson",Elevator,complainer
194,2011,"Saregama India v. Timothy Mosley, et al.",Anonymous,Baghon Mein Behar Hai,complainer
195,2011,"Eight Mile Style [Marshall Mathers, aka Eminem” v. Audi GmbH",Marshall Mathers [aka “Eminem”],Advertisement for Chrysler Corp.,complainer
196,2011,Obinger v. McDonald's,Stephan Obinger,,complainer
197,2011,Stokes v. Stephens,Anthony Stokes,Where are You Now?,complainer
198,2012,"Lyles v. Capital - EMI Music, Inc., et al.",Bruce Lyles,Without You,complainer
199,2012,Peters v. West,Vince Peters,Stronger,complainer
200,2012,People v. Xinru Wang,Meiru Huang,What Is Wrong with Love,complainer
201,2012,Done Deal v. Carter,William Keith,Bedrock,complainer
202,2012,Poindexter v. EMI Record Group,"Robert Poindexter, et al.",Thin Line Between Love and Hate,complainer
203,2012,Rui Hua Wang v. Qi Gang Chen,Rui Hua Wang,You and Me,complainer
204,2012,Black Keys v. Home Depot and Pizza Hut,Daniel Auerbach and Patrick Carney,Lonely Boy; Gold on the Ceiling,complainer
205,2012,Erickson v. Blake,Lars Erickson,Pi Symphony,complainer
206,2012,"Barobax v. Chakraborty, et al.",Kevian Haghgoo et al.,Soosan Khanoom,complainer
207,2013,Hobbs v. John,Guy Hobbs,Natasha,complainer
208,2013,Loomis v. Cornish,Will Loomis,Bright Red Chords,complainer
209,2013,"Twilight Records v. Raymond, et al.",Usher Raymond,Syl Johnson,complainer
210,2013,"Love v. Universal Music Group, Inc.",Bloodstone,I'm Doing My Job,complainer
211,2014,"Francescatti v. Germanotta [""Lady Gaga""]",Rebecca Francescatti,Juda,complainer
212,2014,"Pringle v. Adams [""Black Eyed Peas""]",Brian Pringle,Take a Drive,complainer
213,2014,Steward v. Kanye West,David Pryor,Bumpin' Bus Stop,complainer
214,2014,"TufAmerica, Inc. v. Warner Bros Music Corp., et al",Eddie Bo & The Soul Finders,"Hook & Sling, Pt. I",complainer
215,2014,Mayimba Music v. Sony,Ramon Arias Vasquez,Loca con su Tiguere,complainer
216,2014,Paul Batiste v. Faheem Rasheed Najm,Paul Batiste,I Like Your Way; Blues Man,complainer
217,2014,Musikverlag Richard Birnbach v. ZDF,"Klaus Wüsthoff, Hans Günter Wagener",Fanfaren-Blues,complainer
218,2015,Lane v. Knowles-Carter,Ahmad Javon Lane,X.O.X.O.,complainer
219,2015,"New Old Music v. Gottwald, et al.",Lenny Lee Goldsmith,Zimba ku,complainer
220,2015,"Devin Copeland v. Justin Bieber, et al.",Devin Copeland,Someone to Love,complainer
221,2015,"TufAmerica v. Diamond, et al.",Trouble Funk [band],Say What; Drop the Bomb,complainer
222,2015,"Miles Floyd v. Rod Stewart, et al.","American folk song, as performed by Bo Carter",Corrine Corrina,complainer
223,2015,"Daniel Marino v. Usher, et al.",Daniel Marino,,complainer
224,2015,Tom Petty v. Sam Smith,Tom Petty and Jeff Lynne,I Won't Back Down,complainer
225,2015,Richard Friedman v. Hans Zimmer,Richard Friedman,To Our Fallen,complainer
226,2015,Dark Sanctuary v. Bushido,Dark Sanctuary,Les Memoires Blessées,complainer
227,2015,Johnson v. Goldman,Jefferson/Jean-François Johnson,Forever,complainer
228,2015,"Guzman v. Hacienda Records, et al.",Jose Guzman,"Triste Adventura, alternatively known as Cartas de Amor",complainer
229,2015,Universal Music Publishing v. Sony BMG Music Entertainment,Enrico Riccardi and Luigi Albertelli,Zingara,complainer
230,2016,Fahmy v. Jay Z et al.,Baligh Hamdi,"Khosara, Khosara",complainer
231,2016,Bowen v. Paisley,Amy Bowen,Remind Me,complainer
232,2016,"VMG Salsoul v Madonna Ciccone, et al.","Vincent Montana, Richard Pettibone",Chicago Bus Stop,complainer
233,2016,"McDonald v. West, et al.",Joel McDonald,Made in America,complainer
234,2016,We Shall Overcome Foundation v. Richmond Foundation & Ludlow Music,African-American Spiritual,We Shall Overcome,complainer
235,2016,"Alisa Apps v. Universal Music, et al.",Alisa Apps,Need to Know,complainer
236,2016,Arnett v. Alan Jackson & Sony Music,Timothy Arnett,Remember Me,complainer
237,2016,"BMG v. Atlantic Recording Organization, et al.","Joseph Bereal, et al.",Came to Do,complainer
238,2016,"Eric Smith, et al. v. Amanda Jiroux, et al.","Eric  Smith, et al.",No Rain,complainer
239,2016,"Gabor Presser v. Kanye West, et al.",Gabor Presser & Anna Adamis,Gyongyhaju Lany,complainer
240,2016,"Mattie Music Group v. Lamar, Warner/Chappell, et al.","Bill Withers, et al.",Don't You Want to Stay,complainer
241,2016,"McElroy, et al. v. Eriksen, et al.","Thomas McElroy, Denzil Delano, Jay King",Why You Treat Me So Bad,complainer
242,2016,"Songs Music Publishing v. Porsche, et al.",Members of  the band “X Ambassadors”,Jungle,complainer
243,2016,"Yours, Mine & Ours v. Sony, et al.",Members of  “electro-funk” band Collage,Young Girls,complainer
244,2016,"Estate of Armetia Chatmon v. Eric Clapton, et al.",Public domain blues number performed by Bo Carter (Chatmon),"Corrine, Corrina",complainer
245,2016,"Miller, et al. dba “Sleigh Bells” v. Demi Lovato",“Sleigh Bells” [band],Infinity Guitars,complainer
246,2016,"Greggs v. Grande, et al.",Alex Greggs,Takes All Night,complainer
247,2016,"HaloSongs, Inc., Martin Harrington, Thomas Leonard v. Ed Sheeran, et al.",Martin Harrington & Thomas Leonard,Amazing,complainer
248,2016,"Darlene Love v. Scripps Network, Inc.","Jeff Barry, et al.",Christmas (Baby Please Come Home),complainer
249,2016,"Casey Dienel v. Justin Bieber, et al.",Casey Dienel,Ring the Bell,complainer
250,2016,"Cirque du Soleil v. Justin Timberlake, et al.",Cirque du Soleil,Steel Dream,complainer
251,2016,"PK Music v. Justin Timberlake, et al.",Perry Kibble,A New Day is Here at Last,complainer
252,2016,Feriol v. Maurici,Laurent Feriol,Les Chansons d’artiste,complainer
253,2017,"Parker, et al. v. Winwood, et al.",Willia Dean Parker & Homer Banks,Ain't That a Lot of Loving,complainer
254,2017,Roberts v. Gordy,"Wiliam Roberts, Andrew Harr, Jermaine Jackson",Hustlin,complainer
255,2017,Mitchell v. Priority Records,Leroy Mitchell,Star in the Ghetto,complainer
256,2017,Abdul Muhammad v. Chancellor Bennett,Abdul Muhammad (Erik Saunders),Bridge Through Time,complainer
257,2017,"Lastrada Entertainment v. Mark Ronson, et al.",Roger Troutman,More Bounce to the Ounce,complainer
258,2017,"Enclosed Music v. Steinman, et al.","Jon Dunmore, Mike Molina",[I’d do] Anything for You,complainer
259,2017,"Sean Hall, et al. v. Taylor Swift, et al.",Sean Hall,Playas Gon’ Play,complainer
260,2017,"Estate of Barre v. Beyoncé Knowles Carter, Sony Music, et al.",Anthony Barre aka “Messy Mya”,Booking the Hoes from New Wildings; A 27 Piece Huh?,complainer
261,2017,"Golden Crown Publishing v. Sony Music, Jonathan Smithy [aka “Lil’ Jon”], et al.","Fredley Saurel [aka “Freddy GZ”], et al.",Turn Down for What?,complainer
262,2017,"Bosh v. Univision Communications, Inc.",Joel Bosh,Yo Soy Boricua,complainer
263,2017,Super Cassettes v. Trimurti Films,Kishore Kumar & Asha Bhosle,Kehdoon Tumhe,complainer
264,2017,"Stone et al. v. TIG7 Publishing, LLC et al.",The Sequence,Funk You Up,complainer
265,2018,"Paul Rose v. Paul David Hewson, aka “Bono”, et al.",Paul Rose,Nae Slappin',complainer
266,2018,"Abiodun Oyewole v. Rita Ora, et al.",Abiodun Oyewole,When the Revolution Comes,complainer
267,2018,"Wilson v. Dynatone Pub., et al.","John Wilson, Charles Still, Terrance Stubbs",Sho' Nuff,complainer
268,2018,"Cortes-Ramos v. Enrique Martin-Morales (""Ricky Martin"")",Luis Cortes-Ramos,World Cup Song Contest Entry,complainer
269,2018,"Fahmy v. Jay Z, et al.",Baligh Hamdi,"Khosara, Khosara",complainer
270,2018,"Pharrell Williams, et al. v. Frankie Gaye, et al.",Marvin Gaye,Got to Give it Up,complainer
271,2018,"Lela Weems v. Odd Future Records, et al.",Herman Weems,Why Can't There Be Love,complainer
272,2018,"Michael May v. Miley Ray Cyrus, et al.",Michael May,We Run Things,complainer
273,2018,[INPLAY] Platinum Jack Entertainment v. ESPN and Chick-Fil-A,Drayter [Band],Best I Had,complainer
274,2018,Carey v. Sheeran,"Sean Carey, Beau Golden, Jasmine Rae",When I Found You,complainer
275,2018,"Del Rio v. Virgin America, et al.",Neomi Del Rio,Flight Safety Video,complainer
276,2018,"Jamie Ciero v. Disney, et al.",Jamie Ciero,Volar,complainer
277,2018,Tracy Chapman v. Nicki Minaj,Tracy Chapman,Baby Can I Hold You,complainer
278,2018,"[INPLAY] Brighter Sky Productions LLC, et al. v. Marriott International, Inc., et al.","Dan Tramon, Diana Belkowski, and Carl Anthony Tramon",Rocket Boys Musical,complainer
279,2018,"Benny Mardones, et al. v. Cyndi Lauper, et al.",Benny Mardones & Robert Tepper,Into the Night,complainer
280,2018,"Richard Morrill v. Gwen Stefani, Pharrell Williams, et al.",Richard Morrill,Who's Got My Lightah (1996) / Who's Got My Lighter (2009),complainer
281,2018,Stahlgewitter v. Frei.Wild,Stahlgewitter,Auftrag Deutsches Reich,complainer
282,2018,Harumaki Gohan v. Mori,Harumaki Gohan,Hachigatsu no Rainy [August Rainy],complainer
283,2019,Eight Mile Style v. New Zealand National Party,"Marshall Mathers, et al.",Lose Yourself,complainer
284,2019,The Rolling Stones v. The Verve,The Rolling Stones,The Last Time,complainer
285,2019,"Andrew Green v. Kanye West, et al.",Alice T. Johnson and N.G (minor child),Video Recording of child praying,complainer
286,2019,"William Smith et al. v. ""The Weeknd""","William Smith, Brian Clover, Scott McCulloch",I Need to Love,complainer
287,2019,"Song-a-tron Music, et al. v. Jones, et al.",Song-A-Tron Music,Back it Up,complainer
288,2019,[INPLAY] Hütter v. Pelha,Kraftwerk,Metall auf Metall,complainer
289,2019,Mimi Korman v. Julio Iglesias,Mimi Korman,Me Olvide de Vivir,complainer
290,2019,"Rodriguez v. Avalos, et al.",Esmeralda Lucy Rodriguez,Pediré,complainer
291,2019,"[INPLAY] Nicholas v. Pigott, et al.","Samuel Nicholas III (""Sam Scully"")",Roll Call (Instrumental),complainer
292,2019,"[INPLAY] Brandon Lee (""Don Lee""), et al. v. Hill (""Lil Nas X""), et al.","Brandon Lee (""Don Lee"") & Glen Demeritt",gwenXdonlee4-142,complainer
