valid,case_id,song1_artist,song1_title,song1_evidence,song2_artist,song2_title,song2_evidence,is_melodic_comparison,pair_evidence,pair_evidence_source,comments
1,17,Paolo Citorello,Luna Mezzo Mare,"['The defendants have copied the copyrighted song, claiming that it is an old Sicilian folk song.']",A. A.Galasso,Mamma Mia M'ha Maritan,['The plaintiff and defendants songs are brisk tarantella-flavored 6/8 numbers.'],TRUE,"[""the Court was 'satisfied that [the defendant] did not go back to the original, but simply appropriated the [plaintiffs] song'"", 'The phrase structure of both features highly predictable call-and-response four-bar units.']",Comments and opinions,
1,19,Ira Arnstein,Light My Life With Love,"[""The plaintiff in 1915 composed a piece entitled, 'Light My Life with Love'""]",Nathaniel Shilkret,Lady Divine,"[""the defendant composed the piece 'Lady Divine,' as the theme song of the moving picture, 'Divine Lady'""]",TRUE,['The only parts of the two compositions which are alleged to be similar are portions of the music of the chorus.'],Memorandum Opinion,
1,21,W.A. (Bud) Wilkie,Confessing,"[""The theme of 'Confessing' is found in the first eight bars of the chorus.""]",Bernice Petkere,Starlight,"[""The alleged infringing composition is a song called 'Starlight' which was composed by the defendant Petkere.""]",TRUE,['The infringement claim boils down to an eight-measure phrase that opens the choruses of both songs.'],comments_and_opinions,
1,22,Ira Arnstein,I Love You Madly,"['plaintiff could not make a plausible showing of access', 'plaintiff Arnsteins story is that he originally composed a song']",Emery Deutsch and Arthur Altman,"Play, Fiddle, Play","[""The audio clip of the 'Play, Fiddle, Play' is taken""]",TRUE,['the plaintiff could not make a plausible showing of access to shore up his claims of melodic similarities'],comments_and_opinions,
1,24,Hortense Hirsch,Lady of Love,"[""The plaintiff, Hortense Hirsch, has brought suit...musical composition entitled 'Lady of Love'.""]",Harry Revel,Without a Word of Warning,"[""incorporated it into a musical composition of their own, later copyrighted, entitled 'Without a Word of Warning.'""]",TRUE,"['the melodies were not identical', 'the first four bars of the chorus, which the plaintiff claims to have been pirated']",Comments and opinions,
1,25,Ira Arnstein,Whisper to Me,[],Joe Burke,My Wishing Song,[],TRUE,[],Case name suggests typical musical copyright issues which often involve melodic comparison.,
1,26,Jack Darrell,Does Anybody Want a Little Kewpie,"[""plaintiffs song 'Does Anybody Want a Little Kewpie'""]","Sherman, Meskill, and Silver",On the Beach at Bali-Bali,"[""defendants songs, 'On the Beach at Bali-Bali'""]",TRUE,['substantial identity of a sequence of eight notes in his song and theirs'],Comments and opinions,
1,27,Joseph Davila,If I were a Spider and You were My Fly,"['The plaintiff, Joseph Davilla, received in 1918 a copyright registration for his musically excellent, if topically creepy, If I Were a Spider and You Were My Fly.']",Sigmund Romberg,Desert Song,"['Defendant, the music publisher Harms, registered Sigmund Rombergs equally beguiling number Desert Song in 1926.']",TRUE,"[""the claimed similarity was no more than 'the slight resemblance in the progression of a few bars'""]",comments_and_opinions,
1,28,Wadsworth Doster,Old Eli,"[""Complainants number entitled 'Old Eli March'"", ""Thornton Allen, owner of the copyright to 'Old Eli' claimed""]",Frank Churchill,Someday My Prince Will Come,"['Defending work: Someday My Prince Will Come', ""'Some Day My Prince Will Come' was written by Frank Churchill""]",TRUE,"[""'alleged infringing portion of the latter song involves the music of the chorus only'"", ""'there was a similarity in the first eight bars of each'""]",comments_and_opinions,
1,31,Joseph McMahon,In Sunny Kansas,"[""Plaintiff's musical composition entitled 'In Sunny Kansas'.""]",John Openshaw,Love Sends A Little Gift of Roses,"[""The accused composition published by the defendant is entitled 'Love Sends A Little Gift of Roses'.""]",TRUE,"[""Both songs have a nearly identical thematic 'hook'  i.e. a sequence of eight or nine pitches.""]",comments_and_opinions,
1,33,Ira Arnstein,Kalamazoo,['Plaintiffs composition was registered as an unpublished quartet burlesque.'],Harry Warren,I've Got a Gal in Kalamazoo,['Defendants song Ive Got a Gal in Kalamazoo was used in 20th-Century Foxs movie.'],FALSE,['The Court dismissed Arnstein’s complaint because the word “Kalamazoo” was the only commonality of Arnstein’s and the defendant’s works..'],Comment/Opinion 2,
1,34,Allamae Britton Gingg,There'll Never Be Another You,"[""In the summer of 1941, she composed the words and music of the song entitled, 'Therell Never Be Another You,' alleged to have been infringed.""]",Mack Gordon and Harry Warren,There Will Never Be Another You,"['Defendant Warren had composed the music of the alleged infringing song.', ""The alleged infringing song is entitled: 'There Will Never Be Another You'.""]",FALSE,['her core contention focused instead on putative similarities in lyrical content.'],Web_info comments,
1,36,Samuel Brodsky,Prelude in A Major,['theme that plaintiff claims defendant lifted from his work'],Hans Salter,Bad Lands of Dakota,"['Salter, the composer of the supposed plagiarism was employed by the defendant...']",TRUE,"['Everyone, acquainted with actions for the invasion of musical copyrights, knows how often the same short musical sequences recur spontaneously.', ' upon no more than the similarity between a few bars of his composition and a few of Salter']",comments_and_opinions,
1,37,Louis Ricca,Carnival in Cotton Town,"[""Defendant by its musical composition 'Drummer Boy' has infringed the copyright of plaintiffs musical composition Carnival in Cotton Town."", ""The words and music of 'Carnival in Cotton Town' were written some time prior to December 30, 1936""]",Roger Edens,Drummer Boy,"['The defending work (Drummer Boy)', 'Defendants song was written and composed by Roger Edens at Los Angeles, California, in the early part of 1940.']",FALSE,"['There is a similarity in rhythm. When these compositions are played, the similarity is marked and quite apparent.', 'This is always very important in these cases. Similarity, even a striking similarity, may be arrived at honestly.']",comments_and_opinions,
1,38,Ira Arnstein,Modern Messiah,"[""This involves his 'A Modern Messiah'""]",Cole Porter,Don't Fence Me In,"[""his 'A Modern Messiah' with defendants 'Dont Fence Me In.'""]",TRUE,['there is only one place where there is a common sequence of as many as five consecutive notes'],Commentary and Opinion,
1,38,Ira Arnstein,The Lord is my Shepherd,"[""This involves his 'A Modern Messiah'""]",Cole Porter,Begine the Beguine,"[""his 'A Modern Messiah' with defendants 'Dont Fence Me In.'""]",FALSE,,Commentary and Opinion,
1,38,Ira Arnstein,A mother's prayer,"[""This involves his 'A Modern Messiah'""]",Cole Porter,My Heart Belongs to Daddy,"[""his 'A Modern Messiah' with defendants 'Dont Fence Me In.'""]",FALSE,,Commentary and Opinion,
1,38,Ira Arnstein,I Love You Madly,"[""This involves his 'A Modern Messiah'""]",Cole Porter,Night and Day,"[""his 'A Modern Messiah' with defendants 'Dont Fence Me In.'""]",TRUE,,Commentary and Opinion,
1,38,Ira Arnstein,Sadnes O'erwhelms My Soul,"[""This involves his 'A Modern Messiah'""]",Cole Porter,You'd be So Nice To Come Home To,"[""his 'A Modern Messiah' with defendants 'Dont Fence Me In.'""]",TRUE,,Commentary and Opinion,
1,38,Ira Arnstein,Twilight Waltz,"[""This involves his 'A Modern Messiah'""]",Cole Porter,What Is This Thing Called Love,"[""his 'A Modern Messiah' with defendants 'Dont Fence Me In.'""]",FALSE,,Commentary and Opinion,
1,39,Hajdu Imre (Heim),Ma Este Meg Boldog Vagyok,['plaintiffs chorus'],Aldo Franchetti,Perhaps,"[""defending work 'Perhaps'""]",TRUE,['a passage in Franchettis verse is identical with one in plaintiffs chorus.'],comments_and_opinions,
1,40,Lionel Belasco,L'Annee Passee,"['In Port of Spain, Trinidad, in 1906, Lionel Belasco, even then known as one of the foremost composers of the West Indies, composed the music and Creole lyrics of a song he entitled ']",Jeri Sullivan and Paul Baron,Rum and Coca-Cola,"['The District Court found that the music of defendants song, made popular through a recording by the Andrews Sisters,']",TRUE,"['', 'The rhythm, construction and the harmony of both songs are little short of identical.']",comments_and_opinions,
1,41,Mohammed H. Kahn,Victory Calypsoes (Rum and Coca-Cola),"['Rupert Grant, a native of Trinidad, composed the lyrics and words of the song Rum and Coca-Cola.', 'plaintiff Khan in the song Rum and Coca-Cola,']",Leo Feist,Rum and Coca-Cola,"['In December 1944 the defendants obtained a United States copyright for their song Rum and Coca-Cola', 'So far as Baron cooperated in the infringement of those lyrics which were identical']",FALSE,['The four lines last quoted were sung as a chorus in each song and in form and substance are almost identical.'],comments_and_opinions,
1,42,Meade Lewis,Yancey Special,"[""Plaintiff claims that defendants musical composition 'Long Gone' infringes plaintiffs musical composition 'Yancey Special'.""]",Alphonso Tompkins and Lewis Simpkins,Long Gone,"[""The audio clip of the defending work is from Tomkins and Simpkinss 'Long Gone'""]",TRUE,"['Infringement, if any, must therefore be in the bass.', 'The plaintiff’s infringement claim involved a one-measure syncopated ostinato comprising the three notes of a major triad that is found in their “Yancey Special,” and which they claimed the authors of the defending work (Alphonso Tompkins and Lewis Simpkins) misappropriated when they used it in the accompaniment for “Long Gone.” ']",comments_and_opinions,
1,43,Thelma Jones,Just an Old Fashioned Mother and Dad,"[""Plaintiff, Mrs. Selina Jones, contends that the song Near You' written by Francis Craig infringed upon her song."", 'Plaintiff attempted to bring home to Craig the knowledge of her song']",Francis Craig,Near You,"[""Action for musical copyright infringement. Plaintiff, Mrs. Selina Jones, contends that the song 'Near You' written by Francis Craig"", ""The music of 'Near You' was written by Craig""]",TRUE,"[""Almost certainly what excited the plaintiff is the vague aural connection or 'family resemblance'."", 'The refrains of these numbers (both in F major, which, of course, signifies nothing in terms of derivation) open on the fifth (C) and descend through a chromatically flavored line to the third (A).']",comments_and_opinions,
1,44,Guy B. Wood and Sol Marcus,Tonight He Sailed Again,"['Northern Music Corporation, the assignee of the copyright issued on the musical composition Tonight He Sailed Again.']",Henry B. Glover,"I Love You, Yes I Do","['The infringing musical composition, entitled I Love You, Yes I Do.']",TRUE,"[', the court emphasizes the connections between the melodies (the “fingerprint”) of the two songs over the harmonic and rhythmic similarities and concludes melodic similarity from the fact that over half of the pitches of plaintiff’s melody match those of the defendant’s']",Comments and Opinions,
1,45,Robert Overman,Wonderful You,"['Overman introduced evidence that he, together with Miss Hawes, had composed Wonderful You in the fall of 1946.']",Frank Loesser,On a Slow Boat to China,"['On a Slow Boat to China, words and music by Frank Loesser.']",TRUE,['court found access and similarity. The principal question'],Comments and opinions,
1,51,Homer Cholvin and Norman Stade,When the Sun Bids the Sky Goodnight,"[""Plaintiffs are the owners of a copyright in the musical composition 'When The Sun Bids The Sky Goodnight.'""]",Kaczmarek,While We Dream,"[""The complaint alleges that defendants infringed this copyright by the musical composition 'While We Dream.'""]",TRUE,"['The first four bars of the melodies of the choruses of the two songs are, in fact, markedly similar.']",comments_and_opinions,
1,52,Fred Spielman,Rendezvous,['The composition was entitled Rendezvous.'],Charles Grean,I Dreamed,"[""composition 'I Dreamed' as a published work""]",TRUE,"['immediate repetition of the opening melodic idea one tone higher', 'use of a harmonic progression that descends by thirds']",Comments and Opinions,
1,53,Lionel Walters,Iron Bar,"[""Plaintiff obtained copyright registration of the words and music of a song entitled 'Iron Bar' on February 9, 1954.""]",Erving Burgie,Jamaica Farewell,['Jamaica Farewell has been sung with considerable success by defendant Belafonte and records have been sold by defendant Radio Corporation of America.'],TRUE,"[""The air of the folk song is, to the casual ear, melodious and, unless played in immediate juxtaposition, indistinguishable from the airs of plaintiffs copyrighted 'Iron Bar' and defendants 'Jamaica Farewell'.""]",Comment/Opinion 2,
1,54,Mabel Wayne,In a Little Spanish Town,[],Peter de Angelis,Why,[],TRUE,[],,midi on site
1,55,Irving Berlin,A Pretty Girl is Like a Melody,"['what was originally a tribute to feminine beauty became...', ""'A Pretty Girl Is Like a Melody,' into 'Louella Schwartz Describes Her Malady'""]",Frank Jacobs and Larry Siegel,Louella Schwartz Describes Her Malady,"['Defendants transformed the plaintiffs', 'plaintiffs appear to seek redress upon a theory of copyright']",FALSE,['This copying was needed to conjure up the work being parodied;'],comments_and_opinions,
1,56,James Sheppard and William Miller,A Thousand Miles Away,"['A Thousand Miles Away... On May 2, 1956, defendant James Sheppard and one William H. Miller assigned a composition entitled A Thousand Miles Away']",James Sheppard and William Miller,Daddy's Home,"['Daddys Home...composed before February 21, 1961,']",TRUE,['profusion of melodic similarities along with similarity between lyrics'],comments_and_opinions,
1,57,Patricia Smith and Don Fenton,SUPERCALAFAJALISTICKESPEEALADOJUS,['plaintiffs earlier song with the same title.'],Richard and Robert Sherman,SUPERCALIFRAGILISTIC EXPIALIDOCIOUS,"[""the song 'Supercalifragilistic...' by Richard and Robert Sherman""]",TRUE,"['the melodies of the choruses of the two songs are dissimilar; the plaintiffs having rather more movement than the defendants.', 'The musical scansions of the two choruses, however, are remarkably similar. Both open with an upbeat on the preliminary word “it’s” before launching into a four-bar phrase in which “supercalifrag…” is repeated to variants of the initial four-bar melody, with a little melodic peak occurring in both songs toward the end of the third iteration of the phrase.']",Comments and opinions,
1,58,Frank Nordstrom,Mizpah / Shalom,['The plaintiff claimed the music of defendants number infringed his song not because it contains even a passing melodic resemblance...'],Jerry Herman,Shalom,['Defendant admitted that there was a high degree of similarity between the two compositions.'],FALSE,['The case is unusual because... the same overall structure... uses an unusual structure of forty rather than thirty-six measures.'],Comments and opinions,
1,59,Lorenzo Pack,I'm Afraid,"[""Plaintiff's work 'I'm Afraid'.""]",The Supremes,Baby Love,"[""Defending work 'Baby Love'.""]",TRUE,"['Retired prize-fighter Lorenzo Packson alleged that the first two measures of his 1962 song, “I’m Afraid,” associated with his New-York based publishing company, were infringed by songwriting trio Brian and Eddie Holland and Lamont Dozier in their Detroit-based Motown hit, “Baby Love,” made popular by the Supremes in 1964']",Comments and opinions,
1,62,Wilhelm Kienzl,O schone Jugendtage,['Bote & Bock claimed... the melody of the sentimental aria O schone Jugendtage from Der Evangelimann.'],Gerhard Wendland,Tanze mit mir in den Morgen,"[""Kienzl... appropriated the melody of the sentimental aria 'Tanze mit mir in der Morgen.'""]",TRUE,['The Court correctly found the pitch and intervallic sequences of the melodies of the two works to be highly similar.'],Comments and opinions,midi on site
1,63,Ruth Stratchborneo,MOJO Workout,"[""plaintiff created a new lead sheet, also entitled 'MOJO WORKOUT'""]",Muddy Waters,Got My Mojo Working,"[""Muddy Waters recorded 'Got My Mojo Working'.""]",FALSE,['the court concluded that neither the music nor the words of the disputed works are strikingly or substantially similar.'],Court's Order,
1,64,Armando Sciascia,Sogno Nostalgico,"[""The plaintiffs also brought 'similar facts' in the form of one copyrighted work owned by the plaintiff.""]",Jack Trombey,Girl in the Dark,['The defendants had notice of the trap order but not of the other two pieces of additional evidence.'],TRUE,['The court settled the dispute regarding the original similarity between the songs.'],Comment/Opinion 1,
1,65,The Chiffons,He's So Fine,"[""the court determined that Harrison's use of the melodic kernels of plaintiffs universally popular number... compelled it to conclude that Harrison unconsciously misappropriated the musical essence of 'Hes So Fine.'""]",George Harrison,My Sweet Lord,"[""the court determined that Harrison's use of the melodic kernels of plaintiffs universally popular number...""]",TRUE,"[""the court made much of the fact that both songs have a distinctive 'grace note' in the same melodic motive.""]",comments_and_opinions,
1,66,Leon Pober,Tiny Bubbles,"[""The plaintiff, owner of a copyright song entitled 'Tiny Bubbles'.""]",Ernest Gold,Hiding the Wine,"[""Defendant Ernest Gold's score for United Artists' movie 'The Secret of Santa Vittoria' is 'Hiding the Wine.'""]",TRUE,"[""The theme of defendant's work clearly echoes the plaintiff's theme in this popular recording of 'Tiny Bubbles.'""]",First comment,
1,67,Andrews Sisters,Boogie Woogie Bugle Boy,"[""complaining work: 'Boogie Woogie Bugle Boy' (hereinafter 'Bugle Boy')""]",Earl Wilson,The Cunnilingus Champion of Co. C,"[""defendants who made it a part of the musical piece entitled 'The Cunnilingus Champion of Co. C'""]",TRUE,"['We hold that the evidence clearly and unmistakably establishes that Champion was copied, in substantial part, from Bugle Boy.', ""Wilson testified that he copied the 'eight to the bar rhythm' from Bugle Boy for Champion.""]",Court's Findings,
1,68,Wilma Ferguson,Jeannie Michele,"[""amateur songwriter Wilma Ferguson claimed John Williams misappropriated the theme of her unpublished love ballad 'Jeannie Michele'""]",John Williams,Theme from A Time to Love,"[""for NBCs 'A Time to Love'""]",TRUE,['we can discern the vague melodic similarity between the two works on which Ferguson based her claim.'],Comments and opinions,
1,69,Stephen Schwartz,Day by Day,"[""The differences between the melodies of the two works were 'relatively minor'.""]",Ray Ellis,Theme for N.B.C.'s 'Today Show',['This Is Today is substantially similar to Day By Day.'],TRUE,"[""There seems to be little doubt that Ray Ellis had 'Day by Day' in mind.""]",Comments and opinions,
1,71,Harry Warren,The Boulevard of Broken Dreams,"['the complaining song, Boulevard of Broken Dreams originates from a classic US musical comedy, Moulin Rouge.']",Doumei Suzuki,One Rainy Night in Tokyo,['the defending song is a composition by Doumei Suzuki.'],TRUE,"['the first three motifs of the two songs... sound highly similar.', 'the Tokyo High Court also recognized such initial similarity.']",Comments and opinions,
1,73,Pantelis Ghinnis,Dirlada,"[""The applicant submitted that 'Dirlada' was used in an inadmissible manner in the composition of the defendant.""]",Juan Bastos,Loop Di Love,"[""The hit 'Loop di Love' was later published by the defendant.""]",TRUE,"[""The plaintiff emphasized the fact that the defendants song used a 'call and response' technique like that found in his song.""]",Comments and opinions,
1,74,Philip J. Lipari,Kept on Singing,"[""Philip Lipari composed the words and music to a composition entitled, 'Kept on Singing' in 1969.""]",Danny Janssen and Bobby Hart,Keep on Singing,"[""the alleged infringing song, 'Keep on Singing'""]",TRUE,['given the striking similarity between the two works attested to by defendants expert.'],Comments and opinions,
1,75,Ivan Gondos,Variations,"['The plaintiff alleges that portions of his original musical composition, which he titled Variations on a Theme in A Minor (Variations)... were copied or performed by the defendants.']",Hagood Hardy,The Homecoming,"[""In action number 60735/80, the plaintiff claims that a musical composition, ultimately entitled 'The Homecoming', written and performed by Hagood Hardy, contains 16 bars or measures of Variations.""]",TRUE,"[""The judge did find a remarkable similarity between the melodies of the plaintiff's and defendant's work, more so in Toth's Moment of Love.""]",Court's Opinion,
1,75,Ivan Gondos,Variations,['The plaintiff maintains that the melody of Moment of Love was copied from variation one of Exhibit 1.'],Rudy Toth,Moment of Love,"[""The plaintiff claims that a musical composition known as 'Moment of Love', written and published by the defendants Rudy and Jerry Toth contains 8 bars or measures of Variations.""]",TRUE,['...the similarities between the melody played by the plaintiff on Exhibit 7 and that of Moment of Love.'],Court's Opinion,
1,76,Ronald Selle,Let It End,"[""he identified plaintiff's song as his own 'Let It End' when it was played for him at trial.""]",Bee Gees,How Deep Is Your Love,"[""the Bee Gees, in their hit tune, 'How Deep Is Your Love,' had infringed the copyright of his song.""]",TRUE,['the two songs had such striking similarities that they could not have been written independent of one another.'],Comments and Opinions,
1,77,Howard Leslie Pendleton,Just a Blue Box,"[""The plaintiff's work is 'Just a Blue Box'.""]",Elizabeth Jane Anderson,Mama's Shoe Box,"[""The defendant's work is 'Mamas Shoe Box.'""]",FALSE,"['*This dispute only involved the words to the songs, which are provided in the court opinion below.']",,
1,78,Isaac Hayes,The Theme From Shaft,"[""Long before Eddie Murphy's Norbit and Tyler Perry's chronicles of Madea, 'blaxploitation' movies like Shaft capitalized upon racial stereotypes... Isaac Hayes theme music for the movie won an Academy Award in 1972.""]",Benton and Bowles,TV Ad for Schlitz Beer,"[""the music in a TV commercial prepared by Benton and Bowles to advertise Schlitz beer infringed appellants copyright on... 'The Theme from Shaft.'""]",TRUE,['the jury found Schlitz liable for unauthorized copying of a portion of the plaintiffs theme music.'],Comments and opinions,
1,80,William Dixon,I Need Love,"['The factual circumstances, and contested expression, in this case are remarkably similar to those in the 2010 dispute...']",Led Zeppelin,Whole Lotta Love,"[""defending work was made popular by the group 'Led Zeppelin.'""]",FALSE,"['if not illegal, it is at least distasteful...enriched themselves with the Yankee dollars.']",Comments and opinions,
1,81,Steve Karmen,Budweiser Jingle (1970s),"['Karmen composed the original Budweiser music, for different lyrics, in 1970.', 'The lyric For All You Do, This Buds For You and the accompanying music is a familiar refrain.']",Tom Anthony Music,Budweiser Jingle (1985),"['Anheuser liked the Anthony jingle.', 'Anheusers expert witness... testified that a consistently descending phrase of notes ending in 2-1 is a common musical conclusion.']",FALSE,"['The last measure of the copyrighted version of Karmens jingle contains... a descending phrase of notes: 6-4-2-1.', 'The last measure of the copyrighted version of the Anthony jingle contains... a descending phrase of notes, 4-3-2-1.']",Court's findings,
1,82,John Benson,Don't Cha Know,"[""Appellant alleged that appellee's commercial advertising had infringed his copyright of the song 'Don't Cha Know.'""]",Coca-Cola Company,I'd Like to Buy the World a Coke,"[""Coca-Cola commercials using the song 'I'd Like to Buy the World a Coke.'""]",TRUE,"[""the catchy little four-note figure rising by a minor third and lingering slightly on the upper pitch ('I'd like to buy the world a Coke')""]",Reviewing the works,
1,83,Marvin Fisher and Jack Segal,When Sunny Gets Blue,"[""composed and own the copyright to the 50s standard 'When Sunny Gets Blue'""]",Rick Dees,When Sonny Sniffs Glue,"[""cut on the album, entitled 'When Sonny Sniffs Glue' (the parody)""]",TRUE,['parody copies the first six of the songs thirty-eight bars of musicthe recognizable main theme.'],Factual and Procedural Background,
1,84,Leslie Baxter,Joy,"['Baxter is the sole owner of all right, title and interest in the copyright to Joy.', 'In 1953, Leslie Baxter composed a collection of seven songs intended to invoke or represent emotions.']",John Williams,Theme from 'E.T.',"['In 1982, Williams composed Theme from E.T. for which he received an Academy Award for best original music.', ""Defendants utilized Theme from E.T. in the motion picture 'E.T.: The Extra-Terrestrial.'""]",TRUE,"['We do not suggest that our ears are any more sophisticated than those of the district court. Nevertheless, based on our review of the record, we are persuaded that reasonable minds could differ as to whether Joy and Theme from E.T. are substantially similar.', 'Even if a copied portion be relatively small in proportion to the entire work, if qualitatively important, the finder of fact may properly find substantial similarity.']",Court's opinion,
1,85,Laura Siskind,Take a Chance on Love,[],Olivia Newton-John,Take a Chance,[],FALSE,"['Turning to the musical aspect, the melody of defendants' chorus is entirely different from the melody of either the lead vocal or the background vocal of plaintiff's chorus. The only contention about similarity of music relates to rhythm and harmonics.']",,
1,86,Cyril Verge,It's a Brand New World,"['the plaintiffs copyright had been infringed in the lyrics, Its a Brand New World,']",Steven Benderoth,Hockey Night in Canada,['Imperial Oil Limited is the surviving defendant.'],FALSE,['the defendant failed on both counts to demonstrate that his lyrics were the source of the phrase and the court determined that there was no objective similarity in the musical aspect'],Comments and opinions,
1,87,Tom Waits,Martha,[],David Dundas,Kenco Coffee Advertisement,[],FALSE,['lyrics'],,
1,88,Rogers & Hammerstein,There is Nothing Like a Dame,"[""whoever shaped the jingle leaned very heavily on the rhythmic patterns, melodic shapes and the overall structure of 'There is Nothin Like a Dame.'""]",Denis King,Advertisement for Rapid Coach Service,['the advertisement.'],FALSE,['There is a very striking similarity in the use of alternating solo voices and chorus.'],Expert Opinion,
1,89,Louis Gaste,Pour Toi,['Gaste registered the sheet music for the song in the United States Copyright Office in 1957.'],Morris Albert,Feelings,"[""This appeal involves a copyright infringement action against the composer and publisher of the highly successful popular song 'Feelings.'""]",TRUE,"['The jury found striking similarity between the disputed works and based their verdict on this finding.', ""Judge Newman found, given the testimony by Gastes expert that 'Feelings' contains the 'fingerprint' of 'Pour Toi.'""]",Comments and opinions,
1,90,Julio Iglesias,Alle Liebe dieser Erde,"[""The plaintiff alleged: the composer of 'Ein bisschen Frieden' used roughly 2 bars of the previously written song 'Alles Liebe dieser Erde'.""]",Nicole,Ein bisschen Frieden,"[""the defendant used... 'Ein bisschen Frieden'""]",TRUE,"[""it is likely that the musically educated person would associate the beginning of the chorus in 'Ein bisschen Frieden' with the interlude in 'Alles Liebe dieser Erde'""]",Comments and opinions,
1,90,Julio Iglesias,Un Canto de Galicia,"[""the hit... 'Un Canto de Galicia'""]",Nicole,Ein bisschen Frieden,"[""the defendant... 'Ein bisschen Frieden'""]",TRUE,"[""the two songs were written around ten years before the title 'Ein bisschen Frieden'""]",Comments and opinions,
1,91,Gunter Engel,...wie ein Kind,"[""Plaintiff's work 'Wie ein Kind' [...] of Gunter Engel, the relatively obscure Plaintiff.""]","Earth, Wind & Fire",Fantasy,"[""Defendants were members of the once highly popular band 'Earth Wind & Fire.'""]",TRUE,['The court exhaustively analyzes the melodies of the two songs.'],Comments and Opinions,
1,92,Anita Ward,Ring My Bell,['the original song Ring my Bell originally by the American Singer Anita Ward'],Collette Roberts,Ring My Bell (CBS Version),"['the single Ring my Bell (The CBS Version), which became a hit']",TRUE,['there is a great deal of similarity between the three versions (original/Plaintiff/ Defendant)'],Comments and opinions,
